Дата;Время;ОРУ;Напряжение;Оборудование;Тип оборудования;Параметр;Значение;Норма;Статус;Комментарии
27.08.2025;12:04;ОРУ-500;500;В-500 ВШЛ-32;CIRCUIT_BREAKER;Уровень продувки ф.В II эл.;5;0,5 - 1;⚠️ Не норма;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШЛ-32;CIRCUIT_BREAKER;Уровень продувки ф.С I эл.;4;0,5 - 1;⚠️ Не норма;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШЛ-32;CIRCUIT_BREAKER;Уровень продувки ф.С II эл.;1;0,5 - 1;✅ Норма;
27.08.2025;12:04;ОРУ-500;500;ТТ-500 ВШЛ-32;CURRENT_TRANSFORMER;Уровень масла ф.А;1;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТТ-500 ВШЛ-32;CURRENT_TRANSFORMER;Уровень масла ф.В;8;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТТ-500 ВШЛ-32;CURRENT_TRANSFORMER;Уровень масла ф.С;1;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШЛ-21;CIRCUIT_BREAKER;Уровень продувки ф.А I эл.;5;0,5 - 1;⚠️ Не норма;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШЛ-21;CIRCUIT_BREAKER;Уровень продувки ф.А II эл.;;0,5 - 1;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШЛ-21;CIRCUIT_BREAKER;Уровень продувки ф.В I эл.;;0,5 - 1;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШЛ-21;CIRCUIT_BREAKER;Уровень продувки ф.В II эл.;;0,5 - 1;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШЛ-21;CIRCUIT_BREAKER;Уровень продувки ф.С I эл.;;0,5 - 1;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШЛ-21;CIRCUIT_BREAKER;Уровень продувки ф.С II эл.;;0,5 - 1;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТТ-500 ВШЛ-21;CURRENT_TRANSFORMER;Уровень масла ф.А;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТТ-500 ВШЛ-21;CURRENT_TRANSFORMER;Уровень масла ф.В;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТТ-500 ВШЛ-21;CURRENT_TRANSFORMER;Уровень масла ф.С;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШТ-22;CIRCUIT_BREAKER;Уровень продувки ф.А I эл.;;0,5 - 1;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШТ-22;CIRCUIT_BREAKER;Уровень продувки ф.А II эл.;;0,5 - 1;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШТ-22;CIRCUIT_BREAKER;Уровень продувки ф.В I эл.;;0,5 - 1;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШТ-22;CIRCUIT_BREAKER;Уровень продувки ф.В II эл.;;0,5 - 1;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШТ-22;CIRCUIT_BREAKER;Уровень продувки ф.С I эл.;;0,5 - 1;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШТ-22;CIRCUIT_BREAKER;Уровень продувки ф.С II эл.;;0,5 - 1;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТТ-500 ВШТ-22;CURRENT_TRANSFORMER;Уровень масла ф.А;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТТ-500 ВШТ-22;CURRENT_TRANSFORMER;Уровень масла ф.В;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТТ-500 ВШТ-22;CURRENT_TRANSFORMER;Уровень масла ф.С;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВЛТ-20;CIRCUIT_BREAKER;Уровень продувки ф.А I эл.;;0,5 - 1;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВЛТ-20;CIRCUIT_BREAKER;Уровень продувки ф.А II эл.;;0,5 - 1;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВЛТ-20;CIRCUIT_BREAKER;Уровень продувки ф.В I эл.;;0,5 - 1;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВЛТ-20;CIRCUIT_BREAKER;Уровень продувки ф.В II эл.;;0,5 - 1;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВЛТ-20;CIRCUIT_BREAKER;Уровень продувки ф.С I эл.;;0,5 - 1;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВЛТ-20;CIRCUIT_BREAKER;Уровень продувки ф.С II эл.;;0,5 - 1;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТТ-500 ВЛТ-20;CURRENT_TRANSFORMER;Уровень масла ф.А;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТТ-500 ВЛТ-20;CURRENT_TRANSFORMER;Уровень масла ф.В;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТТ-500 ВЛТ-20;CURRENT_TRANSFORMER;Уровень масла ф.С;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШТ-11;CIRCUIT_BREAKER;Уровень продувки ф.А I эл.;;0,5 - 1;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШТ-11;CIRCUIT_BREAKER;Уровень продувки ф.А II эл.;;0,5 - 1;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШТ-11;CIRCUIT_BREAKER;Уровень продувки ф.В I эл.;;0,5 - 1;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШТ-11;CIRCUIT_BREAKER;Уровень продувки ф.В II эл.;;0,5 - 1;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШТ-11;CIRCUIT_BREAKER;Уровень продувки ф.С I эл.;;0,5 - 1;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШТ-11;CIRCUIT_BREAKER;Уровень продувки ф.С II эл.;;0,5 - 1;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТТ-500 ВШТ-11;CURRENT_TRANSFORMER;Уровень масла ф.А;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТТ-500 ВШТ-11;CURRENT_TRANSFORMER;Уровень масла ф.В;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТТ-500 ВШТ-11;CURRENT_TRANSFORMER;Уровень масла ф.С;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШЛ-12;CIRCUIT_BREAKER;Уровень продувки ф.А I эл.;;0,5 - 1;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШЛ-12;CIRCUIT_BREAKER;Уровень продувки ф.А II эл.;;0,5 - 1;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШЛ-12;CIRCUIT_BREAKER;Уровень продувки ф.В I эл.;;0,5 - 1;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШЛ-12;CIRCUIT_BREAKER;Уровень продувки ф.В II эл.;;0,5 - 1;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШЛ-12;CIRCUIT_BREAKER;Уровень продувки ф.С I эл.;;0,5 - 1;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШЛ-12;CIRCUIT_BREAKER;Уровень продувки ф.С II эл.;;0,5 - 1;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТТ-500 ВШЛ-12;CURRENT_TRANSFORMER;Уровень масла ф.А;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТТ-500 ВШЛ-12;CURRENT_TRANSFORMER;Уровень масла ф.В;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТТ-500 ВШЛ-12;CURRENT_TRANSFORMER;Уровень масла ф.С;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТТ-500 Трачуковская;CURRENT_TRANSFORMER;Уровень масла ф.А;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТТ-500 Трачуковская;CURRENT_TRANSFORMER;Уровень масла ф.В;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТТ-500 Трачуковская;CURRENT_TRANSFORMER;Уровень масла ф.С;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;1ТН-500 Трачуковская;VOLTAGE_TRANSFORMER;Уровень масла ф.А;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;1ТН-500 Трачуковская;VOLTAGE_TRANSFORMER;Уровень масла ф.В;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;1ТН-500 Трачуковская;VOLTAGE_TRANSFORMER;Уровень масла ф.С;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;2ТН-500 Трачуковская;VOLTAGE_TRANSFORMER;Уровень масла ф.А;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;2ТН-500 Трачуковская;VOLTAGE_TRANSFORMER;Уровень масла ф.В;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;2ТН-500 Трачуковская;VOLTAGE_TRANSFORMER;Уровень масла ф.С;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТН-500 Белозёрная;VOLTAGE_TRANSFORMER;Уровень масла ф.А;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТН-500 Белозёрная;VOLTAGE_TRANSFORMER;Уровень масла ф.В;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТН-500 Белозёрная;VOLTAGE_TRANSFORMER;Уровень масла ф.С;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;1ТН-500;VOLTAGE_TRANSFORMER;Уровень масла ф.А 1 каскад;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;1ТН-500;VOLTAGE_TRANSFORMER;Уровень масла ф.А 2 каскад;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;1ТН-500;VOLTAGE_TRANSFORMER;Уровень масла ф.А 3 каскад;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;1ТН-500;VOLTAGE_TRANSFORMER;Уровень масла ф.А 4 каскад;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;1ТН-500;VOLTAGE_TRANSFORMER;Уровень масла ф.В 1 каскад;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;1ТН-500;VOLTAGE_TRANSFORMER;Уровень масла ф.В 2 каскад;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;1ТН-500;VOLTAGE_TRANSFORMER;Уровень масла ф.В 3 каскад;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;1ТН-500;VOLTAGE_TRANSFORMER;Уровень масла ф.В 4 каскад;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;1ТН-500;VOLTAGE_TRANSFORMER;Уровень масла ф.С 1 каскад;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;1ТН-500;VOLTAGE_TRANSFORMER;Уровень масла ф.С 2 каскад;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;1ТН-500;VOLTAGE_TRANSFORMER;Уровень масла ф.С 3 каскад;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;1ТН-500;VOLTAGE_TRANSFORMER;Уровень масла ф.С 4 каскад;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;2ТН-500;VOLTAGE_TRANSFORMER;Уровень масла ф.А 1 каскад;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;2ТН-500;VOLTAGE_TRANSFORMER;Уровень масла ф.А 2 каскад;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;2ТН-500;VOLTAGE_TRANSFORMER;Уровень масла ф.А 3 каскад;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;2ТН-500;VOLTAGE_TRANSFORMER;Уровень масла ф.А 4 каскад;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;2ТН-500;VOLTAGE_TRANSFORMER;Уровень масла ф.В 1 каскад;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;2ТН-500;VOLTAGE_TRANSFORMER;Уровень масла ф.В 2 каскад;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;2ТН-500;VOLTAGE_TRANSFORMER;Уровень масла ф.В 3 каскад;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;2ТН-500;VOLTAGE_TRANSFORMER;Уровень масла ф.В 4 каскад;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;2ТН-500;VOLTAGE_TRANSFORMER;Уровень масла ф.С 1 каскад;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;2ТН-500;VOLTAGE_TRANSFORMER;Уровень масла ф.С 2 каскад;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;2ТН-500;VOLTAGE_TRANSFORMER;Уровень масла ф.С 3 каскад;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;2ТН-500;VOLTAGE_TRANSFORMER;Уровень масла ф.С 4 каскад;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТН-500 СГРЭС-1;VOLTAGE_TRANSFORMER;Уровень масла ф.А 1 каскад;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТН-500 СГРЭС-1;VOLTAGE_TRANSFORMER;Уровень масла ф.А 2 каскад;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТН-500 СГРЭС-1;VOLTAGE_TRANSFORMER;Уровень масла ф.А 3 каскад;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТН-500 СГРЭС-1;VOLTAGE_TRANSFORMER;Уровень масла ф.А 4 каскад;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТН-500 СГРЭС-1;VOLTAGE_TRANSFORMER;Уровень масла ф.В 1 каскад;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТН-500 СГРЭС-1;VOLTAGE_TRANSFORMER;Уровень масла ф.В 2 каскад;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТН-500 СГРЭС-1;VOLTAGE_TRANSFORMER;Уровень масла ф.В 3 каскад;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТН-500 СГРЭС-1;VOLTAGE_TRANSFORMER;Уровень масла ф.В 4 каскад;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТН-500 СГРЭС-1;VOLTAGE_TRANSFORMER;Уровень масла ф.С 1 каскад;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТН-500 СГРЭС-1;VOLTAGE_TRANSFORMER;Уровень масла ф.С 2 каскад;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТН-500 СГРЭС-1;VOLTAGE_TRANSFORMER;Уровень масла ф.С 3 каскад;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТН-500 СГРЭС-1;VOLTAGE_TRANSFORMER;Уровень масла ф.С 4 каскад;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;Трубопроводы воздушной сети ОРУ-500;BUILDING;Состояние трубопроводов;;исправно;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;Трубопроводы воздушной сети ОРУ-500;BUILDING;Отсутствие утечек;;норма;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;Трубопроводы воздушной сети ОРУ-500;BUILDING;Давление в системе;;норма;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;Трубопроводы воздушной сети ОРУ-500;BUILDING;Примечание;;;⚪ Не проверено;
