Дата;Время;ОРУ;Напряжение;Оборудование;Тип оборудования;Параметр;Значение;Норма;Статус;Комментарии
24.08.2025;23:33;ОРУ-35;35;ТН-35 2АТГ;VOLTAGE_TRANSFORMER;Уровень масла;;от -60 до 40;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;ТН-35 3АТГ;VOLTAGE_TRANSFORMER;Уровень масла;;от -60 до 40;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;Трубопроводы воздушной сети ОРУ-35;BUILDING;Состояние трубопроводов;;исправно;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;Трубопроводы воздушной сети ОРУ-35;BUILDING;Отсутствие утечек;;норма;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;Трубопроводы воздушной сети ОРУ-35;BUILDING;Давление в системе;;норма;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;Трубопроводы воздушной сети ОРУ-35;BUILDING;Примечание;;;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;2ТСН;POWER_TRANSFORMER;Уровень масла РУМ;;-40 до +60;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;2ТСН;POWER_TRANSFORMER;Температура ТС;;<85;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;3ТСН;POWER_TRANSFORMER;Уровень масла РУМ;ц;-40 до +60;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;3ТСН;POWER_TRANSFORMER;Температура ТС;ц;<85;⚠️ Не норма;
24.08.2025;23:33;ОРУ-35;35;4ТСН;POWER_TRANSFORMER;Уровень масла РУМ;;-40 до +60;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;4ТСН;POWER_TRANSFORMER;Температура ТС;;<85;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;TT-35 2ТСН;CURRENT_TRANSFORMER;Уровень масла ф.А;;от 0,3 до 0,9;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;TT-35 2ТСН;CURRENT_TRANSFORMER;Уровень масла ф.В;;от 0,3 до 0,9;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;TT-35 2ТСН;CURRENT_TRANSFORMER;Уровень масла ф.С;;от 0,3 до 0,9;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;TT-35 3ТСН;CURRENT_TRANSFORMER;Уровень масла ф.А;;от 0,3 до 0,9;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;TT-35 3ТСН;CURRENT_TRANSFORMER;Уровень масла ф.В;;от 0,3 до 0,9;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;TT-35 3ТСН;CURRENT_TRANSFORMER;Уровень масла ф.С;;от 0,3 до 0,9;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;В-35 2ТСН;CIRCUIT_BREAKER;Уровень продувки ф.А;;от 0,5 до 1;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;В-35 2ТСН;CIRCUIT_BREAKER;Уровень продувки ф.В;;от 0,5 до 1;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;В-35 2ТСН;CIRCUIT_BREAKER;Уровень продувки ф.С;;от 0,5 до 1;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;В-35 3ТСН;CIRCUIT_BREAKER;Уровень продувки ф.А;;от 0,5 до 1;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;В-35 3ТСН;CIRCUIT_BREAKER;Уровень продувки ф.В;;от 0,5 до 1;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;В-35 3ТСН;CIRCUIT_BREAKER;Уровень продувки ф.С;;от 0,5 до 1;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;ТН-35 2АТГ;VOLTAGE_TRANSFORMER;Уровень масла;;от -60 до 40;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;ТН-35 3АТГ;VOLTAGE_TRANSFORMER;Уровень масла;;от -60 до 40;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;Трубопроводы воздушной сети ОРУ-35;BUILDING;Состояние трубопроводов;;исправно;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;Трубопроводы воздушной сети ОРУ-35;BUILDING;Отсутствие утечек;;норма;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;Трубопроводы воздушной сети ОРУ-35;BUILDING;Давление в системе;;норма;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;Трубопроводы воздушной сети ОРУ-35;BUILDING;Примечание;;;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;2ТСН;POWER_TRANSFORMER;Уровень масла РУМ;;-40 до +60;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;2ТСН;POWER_TRANSFORMER;Температура ТС;;<85;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;3ТСН;POWER_TRANSFORMER;Уровень масла РУМ;1;-40 до +60;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;3ТСН;POWER_TRANSFORMER;Температура ТС;1;<85;⚠️ Не норма;
24.08.2025;23:33;ОРУ-35;35;4ТСН;POWER_TRANSFORMER;Уровень масла РУМ;;-40 до +60;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;4ТСН;POWER_TRANSFORMER;Температура ТС;;<85;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;TT-35 2ТСН;CURRENT_TRANSFORMER;Уровень масла ф.А;;от 0,3 до 0,9;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;TT-35 2ТСН;CURRENT_TRANSFORMER;Уровень масла ф.В;;от 0,3 до 0,9;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;TT-35 2ТСН;CURRENT_TRANSFORMER;Уровень масла ф.С;;от 0,3 до 0,9;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;TT-35 3ТСН;CURRENT_TRANSFORMER;Уровень масла ф.А;;от 0,3 до 0,9;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;TT-35 3ТСН;CURRENT_TRANSFORMER;Уровень масла ф.В;;от 0,3 до 0,9;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;TT-35 3ТСН;CURRENT_TRANSFORMER;Уровень масла ф.С;;от 0,3 до 0,9;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;В-35 2ТСН;CIRCUIT_BREAKER;Уровень продувки ф.А;;от 0,5 до 1;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;В-35 2ТСН;CIRCUIT_BREAKER;Уровень продувки ф.В;;от 0,5 до 1;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;В-35 2ТСН;CIRCUIT_BREAKER;Уровень продувки ф.С;;от 0,5 до 1;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;В-35 3ТСН;CIRCUIT_BREAKER;Уровень продувки ф.А;;от 0,5 до 1;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;В-35 3ТСН;CIRCUIT_BREAKER;Уровень продувки ф.В;;от 0,5 до 1;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;В-35 3ТСН;CIRCUIT_BREAKER;Уровень продувки ф.С;;от 0,5 до 1;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;ТН-35 2АТГ;VOLTAGE_TRANSFORMER;Уровень масла;;от -60 до 40;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;ТН-35 3АТГ;VOLTAGE_TRANSFORMER;Уровень масла;;от -60 до 40;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;Трубопроводы воздушной сети ОРУ-35;BUILDING;Состояние трубопроводов;;исправно;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;Трубопроводы воздушной сети ОРУ-35;BUILDING;Отсутствие утечек;;норма;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;Трубопроводы воздушной сети ОРУ-35;BUILDING;Давление в системе;;норма;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;Трубопроводы воздушной сети ОРУ-35;BUILDING;Примечание;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 Р-500 2С;CIRCUIT_BREAKER;Уровень продувки ф.А I эл.;0,7;0,5 - 1;✅ Норма;
27.08.2025;12:04;ОРУ-500;500;В-500 Р-500 2С;CIRCUIT_BREAKER;Уровень продувки ф.А II эл.;0,5;0,5 - 1;✅ Норма;
27.08.2025;12:04;ОРУ-500;500;В-500 Р-500 2С;CIRCUIT_BREAKER;Уровень продувки ф.В I эл.;0,5;0,5 - 1;✅ Норма;
27.08.2025;12:04;ОРУ-500;500;В-500 Р-500 2С;CIRCUIT_BREAKER;Уровень продувки ф.В II эл.;1;0,5 - 1;✅ Норма;
27.08.2025;12:04;ОРУ-500;500;В-500 Р-500 2С;CIRCUIT_BREAKER;Уровень продувки ф.С I эл.;1;0,5 - 1;✅ Норма;
27.08.2025;12:04;ОРУ-500;500;В-500 Р-500 2С;CIRCUIT_BREAKER;Уровень продувки ф.С II эл.;11;0,5 - 1;⚠️ Не норма;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШТ-31;CIRCUIT_BREAKER;Давление элегаза ф.А;1;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШТ-31;CIRCUIT_BREAKER;Давление элегаза ф.В;1;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШТ-31;CIRCUIT_BREAKER;Давление элегаза ф.С;1;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТТ-500 ВШТ-31;CURRENT_TRANSFORMER;Уровень масла ф.А;1;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТТ-500 ВШТ-31;CURRENT_TRANSFORMER;Уровень масла ф.В;1;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТТ-500 ВШТ-31;CURRENT_TRANSFORMER;Уровень масла ф.С;1;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВЛТ-30;CIRCUIT_BREAKER;Давление элегаза ф.А;1;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВЛТ-30;CIRCUIT_BREAKER;Давление элегаза ф.В;1;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВЛТ-30;CIRCUIT_BREAKER;Давление элегаза ф.С;1;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТТ-500 ВЛТ-30;CURRENT_TRANSFORMER;Уровень масла ф.А;1;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТТ-500 ВЛТ-30;CURRENT_TRANSFORMER;Уровень масла ф.В;0,7;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТТ-500 ВЛТ-30;CURRENT_TRANSFORMER;Уровень масла ф.С;0,7;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШЛ-32;CIRCUIT_BREAKER;Уровень продувки ф.А I эл.;1;0,5 - 1;✅ Норма;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШЛ-32;CIRCUIT_BREAKER;Уровень продувки ф.А II эл.;1;0,5 - 1;✅ Норма;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШЛ-32;CIRCUIT_BREAKER;Уровень продувки ф.В I эл.;1;0,5 - 1;✅ Норма;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШЛ-32;CIRCUIT_BREAKER;Уровень продувки ф.В II эл.;5;0,5 - 1;⚠️ Не норма;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШЛ-32;CIRCUIT_BREAKER;Уровень продувки ф.С I эл.;4;0,5 - 1;⚠️ Не норма;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШЛ-32;CIRCUIT_BREAKER;Уровень продувки ф.С II эл.;1;0,5 - 1;✅ Норма;
27.08.2025;12:04;ОРУ-500;500;ТТ-500 ВШЛ-32;CURRENT_TRANSFORMER;Уровень масла ф.А;1;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТТ-500 ВШЛ-32;CURRENT_TRANSFORMER;Уровень масла ф.В;8;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТТ-500 ВШЛ-32;CURRENT_TRANSFORMER;Уровень масла ф.С;1;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШЛ-21;CIRCUIT_BREAKER;Уровень продувки ф.А I эл.;5;0,5 - 1;⚠️ Не норма;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШЛ-21;CIRCUIT_BREAKER;Уровень продувки ф.А II эл.;;0,5 - 1;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШЛ-21;CIRCUIT_BREAKER;Уровень продувки ф.В I эл.;;0,5 - 1;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШЛ-21;CIRCUIT_BREAKER;Уровень продувки ф.В II эл.;;0,5 - 1;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШЛ-21;CIRCUIT_BREAKER;Уровень продувки ф.С I эл.;;0,5 - 1;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШЛ-21;CIRCUIT_BREAKER;Уровень продувки ф.С II эл.;;0,5 - 1;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТТ-500 ВШЛ-21;CURRENT_TRANSFORMER;Уровень масла ф.А;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТТ-500 ВШЛ-21;CURRENT_TRANSFORMER;Уровень масла ф.В;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТТ-500 ВШЛ-21;CURRENT_TRANSFORMER;Уровень масла ф.С;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШТ-22;CIRCUIT_BREAKER;Уровень продувки ф.А I эл.;;0,5 - 1;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШТ-22;CIRCUIT_BREAKER;Уровень продувки ф.А II эл.;;0,5 - 1;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШТ-22;CIRCUIT_BREAKER;Уровень продувки ф.В I эл.;;0,5 - 1;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШТ-22;CIRCUIT_BREAKER;Уровень продувки ф.В II эл.;;0,5 - 1;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШТ-22;CIRCUIT_BREAKER;Уровень продувки ф.С I эл.;;0,5 - 1;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШТ-22;CIRCUIT_BREAKER;Уровень продувки ф.С II эл.;;0,5 - 1;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТТ-500 ВШТ-22;CURRENT_TRANSFORMER;Уровень масла ф.А;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТТ-500 ВШТ-22;CURRENT_TRANSFORMER;Уровень масла ф.В;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТТ-500 ВШТ-22;CURRENT_TRANSFORMER;Уровень масла ф.С;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВЛТ-20;CIRCUIT_BREAKER;Уровень продувки ф.А I эл.;;0,5 - 1;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВЛТ-20;CIRCUIT_BREAKER;Уровень продувки ф.А II эл.;;0,5 - 1;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВЛТ-20;CIRCUIT_BREAKER;Уровень продувки ф.В I эл.;;0,5 - 1;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВЛТ-20;CIRCUIT_BREAKER;Уровень продувки ф.В II эл.;;0,5 - 1;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВЛТ-20;CIRCUIT_BREAKER;Уровень продувки ф.С I эл.;;0,5 - 1;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВЛТ-20;CIRCUIT_BREAKER;Уровень продувки ф.С II эл.;;0,5 - 1;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТТ-500 ВЛТ-20;CURRENT_TRANSFORMER;Уровень масла ф.А;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТТ-500 ВЛТ-20;CURRENT_TRANSFORMER;Уровень масла ф.В;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТТ-500 ВЛТ-20;CURRENT_TRANSFORMER;Уровень масла ф.С;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШТ-11;CIRCUIT_BREAKER;Уровень продувки ф.А I эл.;;0,5 - 1;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШТ-11;CIRCUIT_BREAKER;Уровень продувки ф.А II эл.;;0,5 - 1;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШТ-11;CIRCUIT_BREAKER;Уровень продувки ф.В I эл.;;0,5 - 1;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШТ-11;CIRCUIT_BREAKER;Уровень продувки ф.В II эл.;;0,5 - 1;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШТ-11;CIRCUIT_BREAKER;Уровень продувки ф.С I эл.;;0,5 - 1;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШТ-11;CIRCUIT_BREAKER;Уровень продувки ф.С II эл.;;0,5 - 1;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТТ-500 ВШТ-11;CURRENT_TRANSFORMER;Уровень масла ф.А;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТТ-500 ВШТ-11;CURRENT_TRANSFORMER;Уровень масла ф.В;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТТ-500 ВШТ-11;CURRENT_TRANSFORMER;Уровень масла ф.С;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШЛ-12;CIRCUIT_BREAKER;Уровень продувки ф.А I эл.;;0,5 - 1;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШЛ-12;CIRCUIT_BREAKER;Уровень продувки ф.А II эл.;;0,5 - 1;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШЛ-12;CIRCUIT_BREAKER;Уровень продувки ф.В I эл.;;0,5 - 1;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШЛ-12;CIRCUIT_BREAKER;Уровень продувки ф.В II эл.;;0,5 - 1;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШЛ-12;CIRCUIT_BREAKER;Уровень продувки ф.С I эл.;;0,5 - 1;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШЛ-12;CIRCUIT_BREAKER;Уровень продувки ф.С II эл.;;0,5 - 1;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТТ-500 ВШЛ-12;CURRENT_TRANSFORMER;Уровень масла ф.А;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТТ-500 ВШЛ-12;CURRENT_TRANSFORMER;Уровень масла ф.В;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТТ-500 ВШЛ-12;CURRENT_TRANSFORMER;Уровень масла ф.С;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТТ-500 Трачуковская;CURRENT_TRANSFORMER;Уровень масла ф.А;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТТ-500 Трачуковская;CURRENT_TRANSFORMER;Уровень масла ф.В;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТТ-500 Трачуковская;CURRENT_TRANSFORMER;Уровень масла ф.С;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;1ТН-500 Трачуковская;VOLTAGE_TRANSFORMER;Уровень масла ф.А;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;1ТН-500 Трачуковская;VOLTAGE_TRANSFORMER;Уровень масла ф.В;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;1ТН-500 Трачуковская;VOLTAGE_TRANSFORMER;Уровень масла ф.С;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;2ТН-500 Трачуковская;VOLTAGE_TRANSFORMER;Уровень масла ф.А;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;2ТН-500 Трачуковская;VOLTAGE_TRANSFORMER;Уровень масла ф.В;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;2ТН-500 Трачуковская;VOLTAGE_TRANSFORMER;Уровень масла ф.С;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТН-500 Белозёрная;VOLTAGE_TRANSFORMER;Уровень масла ф.А;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТН-500 Белозёрная;VOLTAGE_TRANSFORMER;Уровень масла ф.В;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТН-500 Белозёрная;VOLTAGE_TRANSFORMER;Уровень масла ф.С;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;1ТН-500;VOLTAGE_TRANSFORMER;Уровень масла ф.А 1 каскад;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;1ТН-500;VOLTAGE_TRANSFORMER;Уровень масла ф.А 2 каскад;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;1ТН-500;VOLTAGE_TRANSFORMER;Уровень масла ф.А 3 каскад;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;1ТН-500;VOLTAGE_TRANSFORMER;Уровень масла ф.А 4 каскад;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;1ТН-500;VOLTAGE_TRANSFORMER;Уровень масла ф.В 1 каскад;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;1ТН-500;VOLTAGE_TRANSFORMER;Уровень масла ф.В 2 каскад;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;1ТН-500;VOLTAGE_TRANSFORMER;Уровень масла ф.В 3 каскад;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;1ТН-500;VOLTAGE_TRANSFORMER;Уровень масла ф.В 4 каскад;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;1ТН-500;VOLTAGE_TRANSFORMER;Уровень масла ф.С 1 каскад;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;1ТН-500;VOLTAGE_TRANSFORMER;Уровень масла ф.С 2 каскад;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;1ТН-500;VOLTAGE_TRANSFORMER;Уровень масла ф.С 3 каскад;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;1ТН-500;VOLTAGE_TRANSFORMER;Уровень масла ф.С 4 каскад;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;2ТН-500;VOLTAGE_TRANSFORMER;Уровень масла ф.А 1 каскад;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;2ТН-500;VOLTAGE_TRANSFORMER;Уровень масла ф.А 2 каскад;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;2ТН-500;VOLTAGE_TRANSFORMER;Уровень масла ф.А 3 каскад;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;2ТН-500;VOLTAGE_TRANSFORMER;Уровень масла ф.А 4 каскад;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;2ТН-500;VOLTAGE_TRANSFORMER;Уровень масла ф.В 1 каскад;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;2ТН-500;VOLTAGE_TRANSFORMER;Уровень масла ф.В 2 каскад;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;2ТН-500;VOLTAGE_TRANSFORMER;Уровень масла ф.В 3 каскад;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;2ТН-500;VOLTAGE_TRANSFORMER;Уровень масла ф.В 4 каскад;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;2ТН-500;VOLTAGE_TRANSFORMER;Уровень масла ф.С 1 каскад;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;2ТН-500;VOLTAGE_TRANSFORMER;Уровень масла ф.С 2 каскад;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;2ТН-500;VOLTAGE_TRANSFORMER;Уровень масла ф.С 3 каскад;;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;2ТН-500;VOLTAGE_TRANSFORMER;Уровень масла ф.С 4 каскад;;;⚪ Не проверено;
